date,city,category,sku,demand,unit_price,inventory_level,lead_time_days,promotion_flag,festival
2023-05-20,Pune,Electronics,SKU_ACC_001,19,3171.54,396,1,1,none
2022-05-11,Kolkata,Footwear,SKU_FOO_008,19,3590.77,263,1,0,none
2023-04-30,Ahmedabad,Accessories,SKU_APP_006,25,1263.71,215,2,0,none
2024-03-29,Pune,Apparel,SKU_SPO_007,19,3671.83,61,5,0,none
2023-10-09,Mumbai,Footwear,SKU_ELE_007,18,2345.34,146,3,0,none
2022-01-21,Kolkata,Footwear,SKU_ELE_009,16,1601.39,180,1,0,none
2024-04-20,Delhi,Apparel,SKU_ELE_003,9,3275.81,218,2,1,none
2022-06-16,Kolkata,Electronics,SKU_APP_001,18,435.78,97,1,0,none
2022-10-01,Hyderabad,Electronics,SKU_SPO_009,21,1348.19,191,2,0,none
2023-01-23,Chennai,Apparel,SKU_SPO_005,18,1713.2,227,5,0,none
2023-08-24,Bangalore,Accessories,SKU_ACC_006,12,3912.51,158,5,0,none
2022-11-12,Ahmedabad,Sportswear,SKU_SPO_004,25,1545.03,154,3,0,none
2022-01-14,Kolkata,Footwear,SKU_APP_006,21,2945.12,197,4,0,none
2022-08-30,Bangalore,Footwear,SKU_ACC_002,22,1877.87,358,1,0,none
2024-02-16,Pune,Electronics,SKU_SPO_006,15,463.03,309,3,0,none
2022-12-12,Bangalore,Electronics,SKU_APP_005,19,2633.06,335,1,0,none
2023-07-19,Pune,Footwear,SKU_ELE_006,26,849.56,297,2,0,none
2024-06-16,Pune,Apparel,SKU_FOO_005,29,3201.66,120,4,0,none
2022-12-06,Pune,Accessories,SKU_FOO_005,25,421.55,330,2,0,none
2022-04-02,Bangalore,Accessories,SKU_ELE_003,17,940.38,314,4,0,none
2023-01-02,Kolkata,Apparel,SKU_SPO_005,19,3849.12,275,3,0,none
2023-03-31,Delhi,Electronics,SKU_SPO_007,19,231.16,242,2,0,none
2023-03-04,Kolkata,Apparel,SKU_SPO_001,19,814.79,193,1,0,none
2023-05-24,Chennai,Apparel,SKU_FOO_007,23,2024.47,217,1,0,none
2024-02-15,Mumbai,Sportswear,SKU_ACC_003,17,3607.77,292,1,0,none
2022-02-04,Chennai,Sportswear,SKU_ACC_010,19,2421.09,130,5,1,none
2022-07-25,Pune,Footwear,SKU_FOO_004,17,534.56,260,4,0,none
2022-03-22,Chennai,Accessories,SKU_FOO_007,18,2554.08,276,4,1,none
2023-07-16,Bangalore,Apparel,SKU_APP_003,22,309.01,291,1,0,none
2024-05-21,Kolkata,Apparel,SKU_ACC_008,21,1976.89,62,5,0,none
2023-01-23,Delhi,Accessories,SKU_ACC_010,19,1629.62,378,4,0,none
2022-01-02,Bangalore,Footwear,SKU_ACC_009,13,226.22,217,3,0,none
2023-01-25,Mumbai,Footwear,SKU_ELE_002,23,1151.92,291,5,1,none
2023-07-20,Pune,Footwear,SKU_ELE_009,22,3892.46,213,3,0,none
2022-04-16,Bangalore,Apparel,SKU_ACC_007,26,1504.76,356,1,0,none
2024-02-11,Kolkata,Sportswear,SKU_APP_004,12,2613.07,112,5,0,none
2024-04-01,Chennai,Footwear,SKU_APP_001,16,3084.06,233,1,1,none
2023-04-22,Chennai,Footwear,SKU_ACC_005,26,3010.88,394,4,1,eid
2023-12-04,Hyderabad,Sportswear,SKU_APP_009,18,3290.65,316,5,0,none
2023-02-06,Chennai,Electronics,SKU_ELE_003,26,2221.41,211,1,0,none
2023-12-31,Kolkata,Apparel,SKU_APP_003,19,232.02,252,2,0,none
2023-07-10,Hyderabad,Apparel,SKU_FOO_004,22,874.26,163,2,1,none
2022-06-11,Pune,Accessories,SKU_FOO_004,24,2348.54,329,5,0,none
2022-07-21,Pune,Electronics,SKU_SPO_001,24,769.78,82,4,0,none
2022-09-27,Delhi,Footwear,SKU_SPO_003,18,1528.32,126,1,0,none
2024-05-12,Mumbai,Apparel,SKU_FOO_005,25,2712.43,271,3,0,none
2024-03-26,Mumbai,Apparel,SKU_ACC_006,18,1889.58,275,4,1,none
2022-09-28,Mumbai,Electronics,SKU_APP_006,18,3434.73,122,4,0,none
2023-04-01,Pune,Electronics,SKU_FOO_006,17,805.69,288,1,0,none
2023-04-07,Chennai,Electronics,SKU_SPO_007,29,3741.43,186,1,0,none
2023-12-28,Ahmedabad,Accessories,SKU_APP_004,30,906.45,393,3,0,none
2022-09-09,Ahmedabad,Apparel,SKU_APP_007,21,2138.11,248,1,0,none
2023-12-03,Chennai,Apparel,SKU_ELE_003,19,1530.63,119,5,0,none
2022-10-23,Hyderabad,Sportswear,SKU_ACC_001,17,3025.01,85,2,0,none
2023-12-26,Mumbai,Footwear,SKU_ACC_010,29,3766.65,329,5,0,none
2023-12-21,Mumbai,Footwear,SKU_SPO_005,22,991.7,281,5,0,none
2024-01-19,Bangalore,Electronics,SKU_APP_007,24,3960.97,276,3,1,none
2022-12-04,Delhi,Accessories,SKU_FOO_005,15,2184.98,133,2,0,none
2024-05-28,Bangalore,Accessories,SKU_APP_009,19,272.59,322,4,0,none
2022-02-22,Delhi,Sportswear,SKU_SPO_005,28,1945.42,109,4,1,none
2024-03-02,Hyderabad,Electronics,SKU_ELE_002,23,1266.78,131,4,0,none
2022-08-05,Pune,Electronics,SKU_APP_010,24,2737.57,114,2,1,none
2024-02-03,Mumbai,Apparel,SKU_APP_007,19,1056.31,50,5,0,none
2022-07-07,Mumbai,Footwear,SKU_ELE_008,15,3608.97,197,4,0,none
2023-01-15,Delhi,Accessories,SKU_APP_009,19,2166.97,146,5,0,none
2023-05-08,Bangalore,Accessories,SKU_APP_004,19,3245.44,260,4,0,none
2022-02-10,Hyderabad,Electronics,SKU_SPO_002,15,2210.78,58,1,0,none
2022-06-06,Hyderabad,Footwear,SKU_FOO_006,14,1311.77,179,3,0,none
2022-01-15,Chennai,Accessories,SKU_FOO_003,11,3841.1,267,3,1,none
2024-03-23,Pune,Accessories,SKU_ELE_010,19,1362.63,148,4,0,none
2022-03-06,Delhi,Accessories,SKU_APP_001,24,3448.49,149,3,0,none
2024-05-06,Kolkata,Electronics,SKU_ELE_006,19,378.59,133,1,0,none
2024-04-18,Chennai,Electronics,SKU_FOO_001,19,2910.64,238,1,0,none
2023-06-05,Mumbai,Footwear,SKU_ELE_005,15,2111.88,349,3,0,none
2022-12-10,Delhi,Electronics,SKU_FOO_003,21,3580.53,391,4,0,none
2022-05-09,Ahmedabad,Electronics,SKU_SPO_006,18,332.54,346,3,0,none
2023-10-10,Delhi,Sportswear,SKU_FOO_009,24,3872.0,305,5,1,none
2023-04-17,Pune,Accessories,SKU_ACC_004,13,291.5,318,4,0,none
2022-03-04,Pune,Accessories,SKU_APP_004,24,2074.2,293,5,0,none
2022-05-19,Bangalore,Footwear,SKU_ACC_003,19,2358.55,355,4,0,none
2023-05-14,Chennai,Electronics,SKU_ELE_008,22,1214.42,261,3,1,none
2023-08-16,Delhi,Apparel,SKU_APP_001,21,1561.71,101,4,0,none
2023-01-27,Delhi,Sportswear,SKU_FOO_002,22,3971.3,399,1,0,none
2023-11-06,Delhi,Accessories,SKU_ACC_007,14,1193.19,99,1,0,none
2023-02-23,Bangalore,Accessories,SKU_APP_001,18,1001.64,338,5,1,none
2022-10-16,Mumbai,Sportswear,SKU_FOO_003,20,2977.02,267,4,0,none
2023-01-14,Kolkata,Apparel,SKU_APP_003,18,2259.93,360,2,0,none
2024-02-12,Kolkata,Accessories,SKU_APP_010,18,2377.01,198,3,0,none
2023-05-05,Bangalore,Apparel,SKU_FOO_002,18,1287.47,276,3,0,none
2022-08-19,Bangalore,Sportswear,SKU_ACC_002,15,3444.54,373,5,1,none
2022-02-10,Hyderabad,Footwear,SKU_ELE_010,12,684.39,224,5,0,none
2022-01-28,Hyderabad,Accessories,SKU_ELE_002,22,3076.14,326,2,0,none
2022-05-15,Chennai,Electronics,SKU_ACC_002,16,2683.28,189,3,0,none
2022-07-20,Pune,Footwear,SKU_APP_007,19,1566.97,129,3,0,none
2024-04-19,Delhi,Electronics,SKU_APP_007,19,3029.66,67,5,0,none
2024-02-19,Pune,Footwear,SKU_SPO_009,22,1668.94,346,4,1,none
2022-02-02,Chennai,Accessories,SKU_ELE_007,21,1982.97,240,4,0,none
2022-02-17,Ahmedabad,Sportswear,SKU_SPO_009,22,2841.8,170,3,0,none
2023-05-18,Mumbai,Sportswear,SKU_SPO_007,20,1997.73,334,3,0,none
2023-02-11,Bangalore,Accessories,SKU_FOO_003,19,1288.05,385,2,0,none
2023-07-28,Chennai,Footwear,SKU_SPO_004,22,2902.61,93,5,0,none
2023-12-29,Bangalore,Accessories,SKU_ACC_008,16,2244.37,272,4,0,none
2024-03-15,Mumbai,Accessories,SKU_SPO_010,19,2822.04,236,1,1,none
2022-04-09,Ahmedabad,Footwear,SKU_ELE_007,16,2687.56,145,2,0,none
2023-11-15,Hyderabad,Electronics,SKU_APP_010,40,859.93,344,5,0,diwali
2024-05-21,Chennai,Accessories,SKU_ACC_006,24,297.86,285,2,0,none
2023-12-27,Hyderabad,Electronics,SKU_FOO_009,24,1906.6,356,3,0,none
2023-07-01,Bangalore,Sportswear,SKU_ELE_003,18,628.08,393,2,0,none
2024-01-09,Chennai,Apparel,SKU_SPO_010,18,2607.37,296,2,0,none
2023-09-05,Hyderabad,Sportswear,SKU_SPO_006,23,2664.82,260,3,0,none
2023-04-07,Pune,Accessories,SKU_APP_009,21,2694.04,254,2,0,none
2023-10-05,Bangalore,Sportswear,SKU_SPO_008,26,1829.55,309,5,0,none
2024-02-08,Ahmedabad,Sportswear,SKU_ACC_009,19,602.33,216,3,0,none
2022-01-05,Kolkata,Apparel,SKU_SPO_003,24,2027.78,111,3,0,none
2022-08-06,Kolkata,Apparel,SKU_ELE_003,20,3963.64,56,5,0,none
2023-05-18,Mumbai,Accessories,SKU_SPO_003,20,870.59,352,3,0,none
2024-02-06,Ahmedabad,Footwear,SKU_ELE_009,17,2467.98,66,5,0,none
2023-02-02,Bangalore,Accessories,SKU_APP_005,17,2127.58,295,1,0,none
2024-05-20,Bangalore,Apparel,SKU_FOO_002,22,786.38,98,1,0,none
2024-03-05,Pune,Apparel,SKU_SPO_001,16,1635.59,391,2,0,none
2023-01-28,Mumbai,Sportswear,SKU_ACC_007,16,675.1,117,5,0,none
2022-07-26,Bangalore,Sportswear,SKU_SPO_002,13,1210.14,124,1,1,none
2022-01-15,Chennai,Apparel,SKU_FOO_010,14,1584.43,296,4,0,none
2024-05-07,Pune,Footwear,SKU_ELE_010,22,2716.86,229,1,0,none
2023-07-08,Chennai,Apparel,SKU_APP_002,17,1586.94,332,4,0,none
2024-06-10,Kolkata,Footwear,SKU_SPO_006,17,1671.41,67,4,0,none
2023-04-06,Bangalore,Footwear,SKU_ACC_010,18,3968.67,160,4,0,none
2023-11-22,Delhi,Sportswear,SKU_ELE_003,24,1189.6,180,2,0,none
2023-07-29,Ahmedabad,Sportswear,SKU_SPO_010,26,2525.93,363,3,1,none
2024-05-13,Chennai,Electronics,SKU_ACC_009,20,2749.08,397,4,0,none
2024-01-13,Delhi,Sportswear,SKU_ACC_009,17,2763.87,313,5,0,none
2022-08-29,Hyderabad,Apparel,SKU_ELE_001,25,2374.4,111,5,0,none
2023-07-18,Hyderabad,Electronics,SKU_SPO_002,27,2861.8,339,3,0,none
2022-04-06,Bangalore,Accessories,SKU_ACC_009,25,2628.03,310,5,0,none
2024-06-18,Mumbai,Accessories,SKU_APP_006,15,2535.58,345,2,1,none
2024-01-04,Hyderabad,Accessories,SKU_ACC_001,19,1147.1,110,5,1,none
2023-04-30,Mumbai,Apparel,SKU_FOO_010,24,2359.01,312,5,0,none
2023-02-11,Bangalore,Sportswear,SKU_ELE_005,27,3638.22,397,3,0,none
2022-08-19,Delhi,Apparel,SKU_FOO_005,17,2181.31,73,3,0,none
2024-01-19,Chennai,Sportswear,SKU_ACC_002,11,2700.36,118,3,1,none
2023-10-17,Kolkata,Sportswear,SKU_FOO_004,19,1056.49,364,3,0,none
2022-06-20,Bangalore,Sportswear,SKU_ACC_005,21,492.61,398,3,0,none
2023-06-25,Pune,Electronics,SKU_ACC_005,17,2852.2,135,2,0,none
2022-02-05,Kolkata,Footwear,SKU_ACC_003,18,2101.37,370,2,0,none
2023-06-09,Hyderabad,Sportswear,SKU_ACC_007,24,988.34,118,1,0,none
2022-06-09,Bangalore,Sportswear,SKU_APP_005,27,2709.4,278,1,0,none
2024-04-18,Hyderabad,Sportswear,SKU_SPO_002,26,721.75,61,1,0,none
2023-11-30,Pune,Sportswear,SKU_ACC_002,21,3520.19,303,2,0,none
2022-08-31,Chennai,Apparel,SKU_ACC_010,18,710.26,385,2,0,none
2022-03-27,Delhi,Electronics,SKU_SPO_005,13,2734.88,273,4,0,none
2024-03-06,Pune,Sportswear,SKU_SPO_008,25,2541.23,284,1,0,none
2023-08-01,Pune,Footwear,SKU_ELE_002,10,1139.07,100,3,0,none
2023-11-13,Chennai,Apparel,SKU_ACC_010,41,2522.2,342,5,0,diwali
2023-07-11,Delhi,Footwear,SKU_APP_007,8,3387.99,152,1,1,none
2023-07-28,Chennai,Accessories,SKU_APP_004,19,1998.29,390,4,0,none
2023-10-08,Kolkata,Accessories,SKU_ACC_002,18,2539.47,50,5,0,none
2024-03-06,Chennai,Accessories,SKU_ELE_009,24,1036.34,378,1,1,none
2022-01-28,Chennai,Accessories,SKU_FOO_006,14,396.11,359,1,0,none
2023-09-12,Kolkata,Footwear,SKU_ELE_008,12,813.63,382,4,0,none
2023-07-10,Pune,Accessories,SKU_APP_005,17,3245.96,74,3,1,none
2022-12-06,Mumbai,Footwear,SKU_ELE_009,18,3392.63,290,3,1,none
2024-03-08,Pune,Apparel,SKU_APP_003,23,1396.82,292,5,0,none
2022-11-27,Pune,Electronics,SKU_FOO_010,17,1123.52,242,4,0,none
2023-10-02,Bangalore,Apparel,SKU_SPO_001,18,3529.99,138,2,0,none
2023-05-21,Mumbai,Electronics,SKU_APP_004,18,2742.69,155,4,0,none
2022-12-14,Kolkata,Accessories,SKU_ELE_010,19,1755.9,325,1,0,none
2023-04-18,Ahmedabad,Apparel,SKU_SPO_009,28,3822.74,282,5,0,none
2022-08-19,Mumbai,Apparel,SKU_APP_010,15,2326.73,140,4,0,none
2022-07-09,Mumbai,Electronics,SKU_FOO_002,27,1715.74,280,1,0,none
2022-08-13,Hyderabad,Electronics,SKU_ELE_004,17,1694.6,273,1,0,none
2023-01-20,Chennai,Sportswear,SKU_ELE_006,17,1439.18,83,1,0,none
2023-01-12,Bangalore,Footwear,SKU_SPO_008,14,1723.19,382,5,1,none
2022-10-10,Bangalore,Footwear,SKU_ELE_005,25,2543.98,135,1,0,none
2023-09-25,Hyderabad,Electronics,SKU_FOO_008,16,1564.34,146,3,0,none
2023-09-20,Pune,Accessories,SKU_SPO_005,18,2990.76,114,1,1,none
2024-01-15,Chennai,Accessories,SKU_FOO_005,14,848.76,170,1,0,none
2022-09-16,Ahmedabad,Footwear,SKU_ACC_007,18,2270.36,361,1,0,none
2022-12-25,Kolkata,Footwear,SKU_ACC_008,13,1123.22,175,4,0,none
2023-12-11,Ahmedabad,Sportswear,SKU_ELE_006,27,2666.01,52,3,0,none
2023-04-01,Delhi,Sportswear,SKU_APP_002,21,796.58,263,4,0,none
2023-02-15,Hyderabad,Electronics,SKU_SPO_005,15,2403.97,354,3,0,none
2023-10-11,Kolkata,Sportswear,SKU_ACC_008,14,1246.72,223,3,0,none
2022-11-14,Hyderabad,Accessories,SKU_APP_006,26,867.22,164,2,1,none
2023-11-08,Mumbai,Accessories,SKU_ACC_009,19,1691.32,294,5,1,none
2022-08-13,Bangalore,Sportswear,SKU_SPO_007,22,1721.27,205,5,0,none
2024-03-29,Chennai,Accessories,SKU_FOO_002,24,1117.42,124,1,0,none
2022-08-22,Kolkata,Accessories,SKU_APP_002,18,284.74,283,1,0,none
2023-11-15,Kolkata,Apparel,SKU_ACC_003,49,3998.09,79,3,0,diwali
2023-10-26,Hyderabad,Accessories,SKU_APP_008,19,1548.33,302,3,0,none
2024-04-06,Hyderabad,Electronics,SKU_FOO_001,11,236.39,338,5,0,none
2023-01-09,Bangalore,Footwear,SKU_APP_006,17,584.97,197,4,0,none
2023-11-03,Chennai,Sportswear,SKU_SPO_006,18,664.0,303,1,0,none
2023-08-31,Bangalore,Sportswear,SKU_ELE_002,22,1673.91,364,3,0,none
2023-04-17,Kolkata,Sportswear,SKU_FOO_002,15,2588.83,53,3,0,none
2022-08-21,Mumbai,Accessories,SKU_APP_005,17,3152.87,374,5,0,none
2023-11-23,Chennai,Apparel,SKU_APP_010,13,2360.83,254,5,1,none
2022-04-23,Ahmedabad,Sportswear,SKU_SPO_006,29,2483.44,254,5,0,none
2024-04-09,Ahmedabad,Sportswear,SKU_ELE_008,21,494.19,101,3,0,none
2023-05-12,Ahmedabad,Accessories,SKU_ELE_005,19,3809.65,178,2,0,none
2023-03-18,Kolkata,Accessories,SKU_APP_010,19,2760.79,122,2,0,none
2023-07-18,Hyderabad,Apparel,SKU_FOO_008,22,2767.9,80,2,0,none
2022-09-25,Bangalore,Accessories,SKU_FOO_008,24,865.42,229,3,0,none
2023-05-25,Delhi,Apparel,SKU_APP_004,14,3481.28,232,2,0,none
2024-03-17,Kolkata,Accessories,SKU_ELE_007,12,1444.5,245,5,0,none
2023-01-21,Hyderabad,Footwear,SKU_APP_003,24,3676.79,252,1,0,none
2023-01-22,Hyderabad,Apparel,SKU_ACC_004,22,655.03,373,3,0,none
2022-04-23,Delhi,Accessories,SKU_FOO_001,17,3910.16,256,3,0,none
2023-09-05,Delhi,Accessories,SKU_FOO_003,18,1975.48,67,2,0,none
2023-09-17,Pune,Electronics,SKU_APP_009,17,1463.9,211,4,1,none
2022-03-22,Delhi,Sportswear,SKU_FOO_007,20,3628.13,221,2,0,none
2023-11-30,Pune,Electronics,SKU_APP_009,22,911.55,276,5,0,none
2022-04-23,Kolkata,Sportswear,SKU_ACC_009,24,292.16,364,4,1,none
2022-01-02,Ahmedabad,Apparel,SKU_FOO_004,13,2663.64,124,1,0,none
2023-10-04,Hyderabad,Sportswear,SKU_FOO_008,14,1693.7,270,4,0,none
2022-08-08,Mumbai,Sportswear,SKU_SPO_002,18,3047.23,271,3,0,none
2023-07-20,Mumbai,Electronics,SKU_ELE_001,24,3326.95,149,5,0,none
2024-05-04,Pune,Apparel,SKU_FOO_010,17,3634.93,230,5,1,none
2024-01-06,Hyderabad,Footwear,SKU_APP_006,30,1791.72,395,1,0,none
2022-08-13,Mumbai,Electronics,SKU_ELE_009,12,664.79,68,4,0,none
2023-01-20,Chennai,Electronics,SKU_SPO_009,26,390.31,247,2,0,none
2023-02-07,Bangalore,Electronics,SKU_ACC_005,20,3342.95,131,3,0,none
2023-09-30,Kolkata,Sportswear,SKU_APP_010,25,3584.34,228,5,0,none
2022-05-10,Chennai,Accessories,SKU_SPO_007,19,1007.19,288,1,0,none
2022-02-22,Pune,Electronics,SKU_ELE_008,13,864.75,181,3,0,none
2023-11-15,Mumbai,Apparel,SKU_ELE_001,33,3132.77,157,4,0,diwali
2023-12-31,Bangalore,Accessories,SKU_ELE_003,26,2402.17,287,3,0,none
2023-11-03,Mumbai,Apparel,SKU_APP_006,27,3636.04,73,1,1,none
2023-12-11,Delhi,Electronics,SKU_FOO_005,25,2714.79,255,4,0,none
2023-02-20,Delhi,Footwear,SKU_ACC_007,19,2681.77,330,1,0,none
2022-09-04,Kolkata,Electronics,SKU_SPO_001,22,1020.2,388,1,0,none
2024-04-15,Hyderabad,Footwear,SKU_APP_005,21,1064.58,322,2,1,none
2023-03-15,Hyderabad,Accessories,SKU_ELE_005,26,685.95,170,2,0,none
2022-07-22,Kolkata,Footwear,SKU_ELE_004,16,2213.67,216,4,0,none
2022-07-03,Bangalore,Accessories,SKU_ELE_001,20,2501.67,379,5,1,none
2022-05-03,Bangalore,Sportswear,SKU_FOO_008,26,2218.39,301,3,0,eid
2023-02-05,Bangalore,Apparel,SKU_APP_008,16,1669.34,65,3,1,none
2024-02-06,Delhi,Footwear,SKU_FOO_004,25,1333.1,315,2,0,none
2022-10-21,Delhi,Accessories,SKU_SPO_009,16,3512.36,321,3,0,none
2022-10-07,Hyderabad,Sportswear,SKU_FOO_008,17,270.42,332,4,0,none
2024-04-16,Kolkata,Accessories,SKU_ELE_005,20,1121.68,321,5,0,none
2024-06-02,Chennai,Accessories,SKU_SPO_003,17,3310.86,349,5,0,none
2023-09-02,Kolkata,Sportswear,SKU_FOO_006,25,3345.13,149,1,0,none
2022-07-17,Pune,Sportswear,SKU_ELE_008,20,2304.54,314,3,0,none
2023-05-26,Ahmedabad,Electronics,SKU_APP_007,25,1037.18,163,4,0,none
2024-01-22,Pune,Footwear,SKU_APP_005,18,3995.5,281,1,0,none
2022-05-24,Pune,Accessories,SKU_SPO_007,24,2551.79,306,2,0,none
2023-09-01,Pune,Apparel,SKU_SPO_001,17,3723.01,280,1,0,none
2022-07-20,Kolkata,Accessories,SKU_APP_002,24,3158.06,156,5,1,none
2022-05-04,Chennai,Sportswear,SKU_FOO_006,40,3852.01,56,1,0,eid
2022-07-06,Kolkata,Accessories,SKU_ACC_007,25,2590.25,327,2,0,none
2022-11-22,Ahmedabad,Accessories,SKU_ELE_003,19,2323.23,231,4,0,none
2023-04-09,Mumbai,Apparel,SKU_ACC_002,17,2184.09,331,5,0,none
2022-12-15,Chennai,Sportswear,SKU_APP_009,23,2225.06,177,2,1,none
2024-02-10,Chennai,Electronics,SKU_FOO_003,20,1470.71,305,5,0,none
2023-10-22,Kolkata,Footwear,SKU_ACC_001,15,605.15,106,4,0,none
2024-02-03,Hyderabad,Accessories,SKU_FOO_008,23,3029.94,70,2,0,none
2023-02-07,Chennai,Electronics,SKU_FOO_001,19,2340.44,79,1,0,none
2022-12-12,Kolkata,Sportswear,SKU_FOO_004,20,3831.2,322,5,1,none
2023-05-26,Bangalore,Electronics,SKU_ACC_004,18,1031.33,263,5,0,none
2022-05-27,Kolkata,Sportswear,SKU_ELE_009,28,3609.09,345,5,1,none
2022-05-28,Pune,Apparel,SKU_APP_008,26,206.1,104,3,1,none
2024-05-13,Delhi,Accessories,SKU_ACC_009,22,596.76,152,3,0,none
2023-12-12,Kolkata,Footwear,SKU_FOO_002,16,2480.89,122,5,0,none
2024-03-30,Bangalore,Apparel,SKU_APP_010,24,3426.38,397,4,0,none
2023-05-04,Pune,Electronics,SKU_ACC_007,24,2934.8,128,4,0,none
2023-10-02,Mumbai,Apparel,SKU_FOO_008,13,3324.65,251,2,0,none
2023-07-05,Kolkata,Footwear,SKU_ELE_002,20,2769.71,198,3,0,none
2022-12-04,Delhi,Sportswear,SKU_ELE_006,26,3164.78,118,2,0,none
2024-05-21,Hyderabad,Electronics,SKU_ELE_006,22,239.52,109,1,0,none
2023-10-03,Hyderabad,Sportswear,SKU_SPO_001,19,2474.95,308,1,0,none
2024-02-18,Kolkata,Apparel,SKU_ACC_010,19,1524.11,324,2,0,none
2023-04-18,Delhi,Sportswear,SKU_APP_003,15,2108.35,131,3,0,none
2022-05-31,Delhi,Footwear,SKU_APP_008,13,3689.06,215,3,0,none
2023-02-19,Chennai,Accessories,SKU_SPO_003,18,1998.25,103,2,1,none
