date,distribution_region,product_name,brand,order_quantity,wholesale_unit_price_inr,warehouse_stock,dispatch_lead_time_days,bulk_discount_flag,season_event
2024-01-02,West,Relaxo Hawai Slippers,Relaxo,137,84.88,422,4,0,none
2024-01-02,West,Sparx Running Shoes SM-450,Sparx,36,629.34,171,2,0,none
2024-01-02,West,Bata Comfit Sandals,Bata,,307.91,191,2,0,none
2024-01-02,West,Liberty Force-10 School Shoes,Liberty,116,413.15,458,2,0,none
2024-01-02,West,Action Formal Leather Shoes,Action,27,597.14,94,1,0,none
2024-01-03,North,Relaxo Hawai Slippers,Relaxo,92,90.94,388,4,1,none
2024-01-03,North,Sparx Running Shoes SM-450,Sparx,41,638.7,123,4,0,none
2024-01-03,North,Bata Comfit Sandals,Bata,65,319.72,176,4,0,none
2024-01-03,North,Liberty Force-10 School Shoes,Liberty,29,,93,1,0,none
2024-01-03,North,Action Formal Leather Shoes,Action,100,557.24,452,3,0,none
2024-01-03,South,Relaxo Hawai Slippers,Relaxo,128,88.72,393,4,0,none
2024-01-03,South,Sparx Running Shoes SM-450,Sparx,39,664.62,179,4,0,none
2024-01-03,South,Bata Comfit Sandals,Bata,57,311.65,172,1,1,none
2024-01-03,South,Liberty Force-10 School Shoes,Liberty,37,417.98,153,1,0,none
2024-01-03,South,Action Formal Leather Shoes,Action,24,571.56,114,1,0,none
2024-01-03,West,Relaxo Hawai Slippers,Relaxo,171,82.99,490,2,0,none
2024-01-03,West,Sparx Running Shoes SM-450,Sparx,45,656.9,,1,0,none
2024-01-03,West,Bata Comfit Sandals,Bata,54,303.76,261,1,0,none
2024-01-03,West,Liberty Force-10 School Shoes,Liberty,32,416.4,139,2,0,none
2024-01-03,West,Action Formal Leather Shoes,Action,,604.32,122,3,0,none
2024-01-04,North,Relaxo Hawai Slippers,Relaxo,138,88.87,401,1,0,none
2024-01-04,North,Sparx Running Shoes SM-450,Sparx,39,657.74,114,1,0,none
2024-01-04,North,Bata Comfit Sandals,Bata,50,308.25,225,1,0,none
2024-01-04,North,Liberty Force-10 School Shoes,Liberty,29,418.43,84,1,0,none
2024-01-04,North,Action Formal Leather Shoes,Action,27,585.26,85,3,0,none
2024-01-04,South,Relaxo Hawai Slippers,Relaxo,122,83.84,443,2,0,none
2024-01-04,South,Sparx Running Shoes SM-450,Sparx,180,675.34,826,3,0,none
2024-01-04,South,Bata Comfit Sandals,Bata,48,331.47,191,3,0,none
2024-01-04,South,Liberty Force-10 School Shoes,Liberty,32,403.08,132,4,0,none
2024-01-04,South,Action Formal Leather Shoes,Action,24,569.79,107,2,0,none
2024-01-04,West,Relaxo Hawai Slippers,Relaxo,137,85.53,423,1,0,none
2024-01-04,West,Sparx Running Shoes SM-450,Sparx,37,620.57,140,3,0,none
2024-01-04,West,Bata Comfit Sandals,Bata,62,304.55,234,3,0,none
2024-01-04,West,Liberty Force-10 School Shoes,Liberty,31,416.55,148,1,0,none
2024-01-04,West,Action Formal Leather Shoes,Action,27,581.64,107,2,0,none
2024-01-05,North,Relaxo Hawai Slippers,Relaxo,137,83.45,669,3,0,none
2024-01-05,North,Sparx Running Shoes SM-450,Sparx,45,666.71,208,1,0,none
2024-01-05,North,Bata Comfit Sandals,Bata,51,329.12,189,3,0,none
2024-01-05,North,Liberty Force-10 School Shoes,Liberty,33,405.44,123,1,1,none
2024-01-05,North,Action Formal Leather Shoes,Action,26,594.16,66,2,0,none
2024-01-05,South,Relaxo Hawai Slippers,Relaxo,125,88.69,522,2,0,none
2024-01-05,South,Sparx Running Shoes SM-450,Sparx,40,664.98,109,1,0,none
2024-01-05,South,Bata Comfit Sandals,Bata,,312.56,222,1,1,none
2024-01-05,South,Liberty Force-10 School Shoes,Liberty,36,393.31,171,3,0,none
2024-01-05,South,Action Formal Leather Shoes,Action,27,568.9,122,2,0,none
2024-01-05,West,Relaxo Hawai Slippers,Relaxo,134,88.69,525,2,0,none
2024-01-05,West,Sparx Running Shoes SM-450,Sparx,48,647.42,174,1,0,none
2024-01-05,West,Bata Comfit Sandals,Bata,62,313.26,281,4,0,none
2024-01-05,West,Liberty Force-10 School Shoes,Liberty,31,396.72,154,1,0,none
2024-01-05,West,Action Formal Leather Shoes,Action,24,590.72,72,3,0,none
2024-01-06,North,Relaxo Hawai Slippers,Relaxo,75,80.69,358,3,0,none
2024-01-06,North,Sparx Running Shoes SM-450,Sparx,25,,110,1,0,none
2024-01-06,North,Bata Comfit Sandals,Bata,39,301.46,145,4,0,none
2024-01-06,North,Liberty Force-10 School Shoes,Liberty,23,416.23,79,3,0,none
2024-01-06,North,Action Formal Leather Shoes,Action,17,589.66,55,4,0,none
2024-01-06,South,Relaxo Hawai Slippers,Relaxo,94,86.32,423,4,0,none
2024-01-06,South,Sparx Running Shoes SM-450,Sparx,30,630.62,140,1,0,none
2024-01-06,South,Bata Comfit Sandals,Bata,37,304.56,106,3,0,none
2024-01-06,South,Liberty Force-10 School Shoes,Liberty,20,405.87,91,4,0,none
2024-01-06,South,Action Formal Leather Shoes,Action,19,573.99,91,2,0,none
2024-01-06,West,Relaxo Hawai Slippers,Relaxo,87,80.19,312,3,0,none
2024-01-06,West,Sparx Running Shoes SM-450,Sparx,32,660.23,89,2,0,none
2024-01-06,West,Bata Comfit Sandals,Bata,33,337.56,88,3,0,none
2024-01-06,West,Liberty Force-10 School Shoes,Liberty,22,428.41,95,1,0,none
2024-01-06,West,Action Formal Leather Shoes,Action,,555.33,69,1,0,none
2024-01-07,North,Relaxo Hawai Slippers,Relaxo,78,,243,1,0,none
2024-01-07,North,Sparx Running Shoes SM-450,Sparx,29,659.51,118,2,0,none
2024-01-07,North,Bata Comfit Sandals,Bata,36,306.17,165,3,0,none
2024-01-07,North,Liberty Force-10 School Shoes,Liberty,24,400.89,90,1,0,none
2024-01-07,North,Action Formal Leather Shoes,Action,14,581.84,54,1,0,none
2024-01-07,South,Relaxo Hawai Slippers,Relaxo,83,87.65,312,4,0,none
2024-01-07,South,Sparx Running Shoes SM-450,Sparx,31,656.57,141,3,0,none
2024-01-07,South,Bata Comfit Sandals,Bata,34,331.13,125,4,0,none
2024-01-07,South,Liberty Force-10 School Shoes,Liberty,19,410.71,56,2,0,none
2024-01-07,South,Action Formal Leather Shoes,Action,19,583.0,87,1,0,none
2024-01-07,West,Relaxo Hawai Slippers,Relaxo,93,91.21,456,3,0,none
2024-01-07,West,Sparx Running Shoes SM-450,Sparx,29,660.9,115,3,0,none
2024-01-07,West,Bata Comfit Sandals,Bata,31,319.72,130,2,0,none
2024-01-07,West,Liberty Force-10 School Shoes,Liberty,21,421.38,64,1,1,none
2024-01-07,West,Action Formal Leather Shoes,Action,15,559.91,53,3,0,none
2024-01-08,North,Relaxo Hawai Slippers,Relaxo,,91.74,683,1,0,none
2024-01-08,North,Sparx Running Shoes SM-450,Sparx,45,661.67,115,2,0,none
2024-01-08,North,Bata Comfit Sandals,Bata,59,323.64,196,1,0,none
2024-01-08,North,Liberty Force-10 School Shoes,Liberty,112,421.3,337,4,0,none
2024-01-08,North,Action Formal Leather Shoes,Action,23,563.08,98,4,0,none
2024-01-08,South,Relaxo Hawai Slippers,Relaxo,142,88.81,365,2,0,none
2024-01-08,South,Sparx Running Shoes SM-450,Sparx,220,644.77,747,3,0,none
2024-01-08,South,Bata Comfit Sandals,Bata,55,308.95,215,3,0,none
2024-01-08,South,Liberty Force-10 School Shoes,Liberty,32,420.9,102,2,0,none
2024-01-08,South,Action Formal Leather Shoes,Action,28,551.67,86,3,0,none
2024-01-08,West,Relaxo Hawai Slippers,Relaxo,136,88.35,359,1,0,none
2024-01-08,West,Sparx Running Shoes SM-450,Sparx,,643.79,129,1,0,none
2024-01-08,West,Bata Comfit Sandals,Bata,56,329.26,280,1,0,none
2024-01-08,West,Liberty Force-10 School Shoes,Liberty,33,395.53,132,2,0,none
2024-01-08,West,Action Formal Leather Shoes,Action,29,571.07,138,2,0,none
2024-01-09,North,Relaxo Hawai Slippers,Relaxo,115,89.11,337,2,0,none
2024-01-09,North,Sparx Running Shoes SM-450,Sparx,43,621.68,209,4,0,none
2024-01-09,North,Bata Comfit Sandals,Bata,62,320.08,304,4,0,none
2024-01-09,North,Liberty Force-10 School Shoes,Liberty,32,420.2,140,1,0,none
2024-01-09,North,Action Formal Leather Shoes,Action,28,609.12,104,4,0,none
2024-01-09,South,Relaxo Hawai Slippers,Relaxo,118,91.53,423,4,0,none
2024-01-09,South,Sparx Running Shoes SM-450,Sparx,36,670.02,116,2,0,none
2024-01-09,South,Bata Comfit Sandals,Bata,56,300.51,159,1,0,none
2024-01-09,South,Liberty Force-10 School Shoes,Liberty,32,394.01,140,3,0,none
2024-01-09,South,Action Formal Leather Shoes,Action,28,576.93,136,4,0,none
2024-01-09,West,Relaxo Hawai Slippers,Relaxo,115,87.13,504,3,0,none
2024-01-09,West,Sparx Running Shoes SM-450,Sparx,38,631.17,130,1,0,none
2024-01-09,West,Bata Comfit Sandals,Bata,68,306.59,220,4,1,none
2024-01-09,West,Liberty Force-10 School Shoes,Liberty,,413.45,149,2,0,none
2024-01-09,West,Action Formal Leather Shoes,Action,27,560.6,123,4,0,none
2024-01-10,North,Relaxo Hawai Slippers,Relaxo,,80.95,506,2,0,none
2024-01-10,North,Sparx Running Shoes SM-450,Sparx,44,638.96,209,4,0,none
2024-01-10,North,Bata Comfit Sandals,Bata,43,330.44,,1,0,none
2024-01-10,North,Liberty Force-10 School Shoes,Liberty,31,427.68,114,3,0,none
2024-01-10,North,Action Formal Leather Shoes,Action,27,603.93,114,4,0,none
2024-01-10,South,Relaxo Hawai Slippers,Relaxo,137,,678,4,0,none
2024-01-10,South,Sparx Running Shoes SM-450,Sparx,40,664.4,131,2,0,none
2024-01-10,South,Bata Comfit Sandals,Bata,55,336.02,167,1,0,none
2024-01-10,South,Liberty Force-10 School Shoes,Liberty,32,392.14,103,4,0,none
2024-01-10,South,Action Formal Leather Shoes,Action,27,581.4,100,3,0,none
2024-01-10,West,Relaxo Hawai Slippers,Relaxo,133,84.52,348,2,0,none
2024-01-10,West,Sparx Running Shoes SM-450,Sparx,38,638.51,147,2,0,none
2024-01-10,West,Bata Comfit Sandals,Bata,56,327.95,157,4,0,none
2024-01-10,West,Liberty Force-10 School Shoes,Liberty,34,417.63,97,1,0,none
2024-01-10,West,Action Formal Leather Shoes,Action,23,594.63,94,1,0,none
2024-01-11,North,Relaxo Hawai Slippers,Relaxo,137,85.49,496,3,0,none
2024-01-11,North,Sparx Running Shoes SM-450,Sparx,43,637.27,167,2,0,none
2024-01-11,North,Bata Comfit Sandals,Bata,,303.38,219,2,0,none
2024-01-11,North,Liberty Force-10 School Shoes,Liberty,30,397.96,119,4,0,none
2024-01-11,North,Action Formal Leather Shoes,Action,29,607.0,127,1,0,none
2024-01-11,South,Relaxo Hawai Slippers,Relaxo,124,80.58,568,2,0,none
2024-01-11,South,Sparx Running Shoes SM-450,Sparx,48,668.95,147,4,0,none
2024-01-11,South,Bata Comfit Sandals,Bata,63,308.54,281,3,0,none
2024-01-11,South,Liberty Force-10 School Shoes,Liberty,29,404.23,134,4,0,none
2024-01-11,South,Action Formal Leather Shoes,Action,21,580.95,95,2,0,none
2024-01-11,West,Relaxo Hawai Slippers,Relaxo,130,88.88,570,3,0,none
2024-01-11,West,Sparx Running Shoes SM-450,Sparx,45,637.68,134,1,0,none
2024-01-11,West,Bata Comfit Sandals,Bata,61,327.92,215,1,0,none
2024-01-11,West,Liberty Force-10 School Shoes,Liberty,30,429.03,82,2,0,none
2024-01-11,West,Action Formal Leather Shoes,Action,28,602.02,73,3,0,none
2024-01-12,North,Relaxo Hawai Slippers,Relaxo,136,84.29,591,3,0,none
2024-01-12,North,Sparx Running Shoes SM-450,Sparx,45,632.04,217,2,0,none
2024-01-12,North,Bata Comfit Sandals,Bata,63,325.14,210,3,0,none
2024-01-12,North,Liberty Force-10 School Shoes,Liberty,27,410.24,126,3,0,none
2024-01-12,North,Action Formal Leather Shoes,Action,24,609.29,110,2,1,none
2024-01-12,South,Relaxo Hawai Slippers,Relaxo,130,83.97,454,2,1,none
2024-01-12,South,Sparx Running Shoes SM-450,Sparx,49,673.52,191,1,0,none
2024-01-12,South,Bata Comfit Sandals,Bata,64,340.0,242,4,0,none
2024-01-12,South,Liberty Force-10 School Shoes,Liberty,37,392.97,138,4,0,none
2024-01-12,South,Action Formal Leather Shoes,Action,26,605.87,94,3,0,none
2024-01-12,West,Relaxo Hawai Slippers,Relaxo,141,81.57,561,2,0,none
2024-01-12,West,Sparx Running Shoes SM-450,Sparx,38,,135,1,0,none
2024-01-12,West,Bata Comfit Sandals,Bata,59,338.48,226,1,0,none
2024-01-12,West,Liberty Force-10 School Shoes,Liberty,34,394.53,144,3,0,none
2024-01-12,West,Action Formal Leather Shoes,Action,32,570.81,159,1,0,none
2024-01-13,North,Relaxo Hawai Slippers,Relaxo,98,84.12,376,4,0,none
2024-01-13,North,Sparx Running Shoes SM-450,Sparx,27,664.46,109,3,0,none
2024-01-13,North,Bata Comfit Sandals,Bata,37,318.9,152,1,0,none
2024-01-13,North,Liberty Force-10 School Shoes,Liberty,26,426.24,94,1,0,none
2024-01-13,North,Action Formal Leather Shoes,Action,17,563.38,44,1,0,none
2024-01-13,South,Relaxo Hawai Slippers,Relaxo,82,87.52,402,1,0,none
2024-01-13,South,Sparx Running Shoes SM-450,Sparx,29,669.64,107,3,0,none
2024-01-13,South,Bata Comfit Sandals,Bata,44,321.59,136,4,0,none
2024-01-13,South,Liberty Force-10 School Shoes,Liberty,21,413.01,91,1,0,none
2024-01-13,South,Action Formal Leather Shoes,Action,20,576.67,64,1,0,none
2024-01-13,West,Relaxo Hawai Slippers,Relaxo,96,83.09,331,4,0,none
2024-01-13,West,Sparx Running Shoes SM-450,Sparx,30,632.23,104,2,0,none
2024-01-13,West,Bata Comfit Sandals,Bata,34,313.67,128,1,0,none
2024-01-13,West,Liberty Force-10 School Shoes,Liberty,21,,60,3,0,none
2024-01-13,West,Action Formal Leather Shoes,Action,68,550.08,258,4,0,none
2024-01-14,North,Relaxo Hawai Slippers,Relaxo,328,82.76,1032,1,0,none
2024-01-14,North,Sparx Running Shoes SM-450,Sparx,29,654.23,123,1,0,none
2024-01-14,North,Bata Comfit Sandals,Bata,39,,151,3,0,none
2024-01-14,North,Liberty Force-10 School Shoes,Liberty,22,404.87,99,4,0,none
2024-01-14,North,Action Formal Leather Shoes,Action,19,599.25,87,4,0,none
2024-01-14,South,Relaxo Hawai Slippers,Relaxo,110,90.61,525,2,0,none
2024-01-14,South,Sparx Running Shoes SM-450,Sparx,28,658.14,131,3,0,none
2024-01-14,South,Bata Comfit Sandals,Bata,42,311.42,168,4,0,none
2024-01-14,South,Liberty Force-10 School Shoes,Liberty,21,406.32,65,1,0,none
2024-01-14,South,Action Formal Leather Shoes,Action,18,572.65,49,1,0,none
2024-01-14,West,Relaxo Hawai Slippers,Relaxo,98,82.07,423,1,0,none
2024-01-14,West,Sparx Running Shoes SM-450,Sparx,22,620.99,62,1,0,none
2024-01-14,West,Bata Comfit Sandals,Bata,41,305.06,133,2,0,none
2024-01-14,West,Liberty Force-10 School Shoes,Liberty,18,420.97,46,3,0,none
2024-01-14,West,Action Formal Leather Shoes,Action,19,606.55,84,1,0,none
2024-01-15,North,Relaxo Hawai Slippers,Relaxo,131,86.34,371,2,0,none
2024-01-15,North,Sparx Running Shoes SM-450,Sparx,36,635.75,176,4,0,none
2024-01-15,North,Bata Comfit Sandals,Bata,46,315.54,189,3,0,none
2024-01-15,North,Liberty Force-10 School Shoes,Liberty,25,417.54,98,2,0,none
2024-01-15,North,Action Formal Leather Shoes,Action,27,568.3,102,1,0,none
2024-01-15,South,Relaxo Hawai Slippers,Relaxo,133,80.65,434,4,0,none
2024-01-15,South,Sparx Running Shoes SM-450,Sparx,41,656.23,108,1,0,none
2024-01-15,South,Bata Comfit Sandals,Bata,67,307.9,306,4,0,none
2024-01-15,South,Liberty Force-10 School Shoes,Liberty,26,425.83,78,3,0,none
2024-01-15,South,Action Formal Leather Shoes,Action,30,597.95,75,2,0,none
2024-01-15,West,Relaxo Hawai Slippers,Relaxo,116,84.89,375,4,0,none
2024-01-15,West,Sparx Running Shoes SM-450,Sparx,46,628.46,216,3,0,none
2024-01-15,West,Bata Comfit Sandals,Bata,60,319.91,226,3,0,none
2024-01-15,West,Liberty Force-10 School Shoes,Liberty,32,391.7,135,2,0,none
2024-01-15,West,Action Formal Leather Shoes,Action,32,560.46,86,3,0,none
2024-01-16,North,Relaxo Hawai Slippers,Relaxo,,89.44,483,1,0,none
2024-01-16,North,Sparx Running Shoes SM-450,Sparx,47,650.77,212,4,0,none
2024-01-16,North,Bata Comfit Sandals,Bata,55,314.73,228,1,0,none
2024-01-16,North,Liberty Force-10 School Shoes,Liberty,31,416.36,155,2,0,none
2024-01-16,North,Action Formal Leather Shoes,Action,29,585.25,132,3,0,none
2024-01-16,South,Relaxo Hawai Slippers,Relaxo,129,82.67,606,3,0,none
2024-01-16,South,Sparx Running Shoes SM-450,Sparx,44,625.55,142,4,0,none
2024-01-16,South,Bata Comfit Sandals,Bata,49,327.81,245,2,0,none
2024-01-16,South,Liberty Force-10 School Shoes,Liberty,27,419.79,131,2,0,none
2024-01-16,South,Action Formal Leather Shoes,Action,27,596.92,72,2,0,none
2024-01-16,West,Relaxo Hawai Slippers,Relaxo,137,80.6,578,1,0,none
2024-01-16,West,Sparx Running Shoes SM-450,Sparx,45,626.54,189,2,0,none
2024-01-16,West,Bata Comfit Sandals,Bata,58,311.32,161,3,0,none
2024-01-16,West,Liberty Force-10 School Shoes,Liberty,27,402.83,73,4,0,none
2024-01-16,West,Action Formal Leather Shoes,Action,25,564.0,70,2,0,none
2024-01-17,North,Relaxo Hawai Slippers,Relaxo,117,85.81,527,1,0,none
2024-01-17,North,Sparx Running Shoes SM-450,Sparx,49,624.52,168,1,0,none
2024-01-17,North,Bata Comfit Sandals,Bata,,317.74,243,4,0,none
2024-01-17,North,Liberty Force-10 School Shoes,Liberty,27,428.38,91,4,0,none
2024-01-17,North,Action Formal Leather Shoes,Action,28,590.71,120,4,0,none
2024-01-17,South,Relaxo Hawai Slippers,Relaxo,120,82.74,595,3,0,none
2024-01-17,South,Sparx Running Shoes SM-450,Sparx,46,632.29,209,4,0,none
2024-01-17,South,Bata Comfit Sandals,Bata,53,304.94,208,1,0,none
2024-01-17,South,Liberty Force-10 School Shoes,Liberty,33,405.27,98,1,0,none
2024-01-17,South,Action Formal Leather Shoes,Action,27,561.62,69,1,0,none
2024-01-17,West,Relaxo Hawai Slippers,Relaxo,145,83.52,,4,0,none
2024-01-17,West,Sparx Running Shoes SM-450,Sparx,49,654.18,217,1,0,none
2024-01-17,West,Bata Comfit Sandals,Bata,46,305.46,,3,0,none
2024-01-17,West,Liberty Force-10 School Shoes,Liberty,35,416.78,156,1,0,none
2024-01-17,West,Action Formal Leather Shoes,Action,27,604.49,127,4,0,none
2024-01-18,North,Relaxo Hawai Slippers,Relaxo,140,,591,2,0,none
2024-01-18,North,Sparx Running Shoes SM-450,Sparx,148,628.47,395,4,0,none
2024-01-18,North,Bata Comfit Sandals,Bata,62,335.92,303,2,0,none
2024-01-18,North,Liberty Force-10 School Shoes,Liberty,36,397.2,135,2,0,none
2024-01-18,North,Action Formal Leather Shoes,Action,23,570.82,84,3,0,none
2024-01-18,South,Relaxo Hawai Slippers,Relaxo,135,82.97,411,2,1,none
2024-01-18,South,Sparx Running Shoes SM-450,Sparx,44,628.01,136,3,0,none
2024-01-18,South,Bata Comfit Sandals,Bata,,332.06,271,1,0,none
2024-01-18,South,Liberty Force-10 School Shoes,Liberty,28,429.36,107,4,0,none
2024-01-18,South,Action Formal Leather Shoes,Action,26,567.63,122,3,0,none
2024-01-18,West,Relaxo Hawai Slippers,Relaxo,133,81.64,511,2,0,none
2024-01-18,West,Sparx Running Shoes SM-450,Sparx,45,654.55,128,4,0,none
2024-01-18,West,Bata Comfit Sandals,Bata,59,317.29,159,2,0,none
2024-01-18,West,Liberty Force-10 School Shoes,Liberty,34,425.03,97,3,0,none
2024-01-18,West,Action Formal Leather Shoes,Action,25,583.48,119,1,1,none
2024-01-19,North,Relaxo Hawai Slippers,Relaxo,,82.98,429,3,0,none
2024-01-19,North,Sparx Running Shoes SM-450,Sparx,42,642.68,202,2,0,none
2024-01-19,North,Bata Comfit Sandals,Bata,55,307.71,265,4,0,none
2024-01-19,North,Liberty Force-10 School Shoes,Liberty,35,393.07,137,2,0,none
2024-01-19,North,Action Formal Leather Shoes,Action,23,607.84,109,2,0,none
2024-01-19,South,Relaxo Hawai Slippers,Relaxo,114,85.53,392,1,0,none
2024-01-19,South,Sparx Running Shoes SM-450,Sparx,45,675.9,148,1,0,none
2024-01-19,South,Bata Comfit Sandals,Bata,56,306.53,238,3,0,none
2024-01-19,South,Liberty Force-10 School Shoes,Liberty,32,408.34,89,3,0,none
2024-01-19,South,Action Formal Leather Shoes,Action,25,564.15,86,2,0,none
2024-01-19,West,Relaxo Hawai Slippers,Relaxo,128,85.69,375,4,0,none
2024-01-19,West,Sparx Running Shoes SM-450,Sparx,42,671.92,152,4,0,none
2024-01-19,West,Bata Comfit Sandals,Bata,56,304.47,197,4,0,none
2024-01-19,West,Liberty Force-10 School Shoes,Liberty,30,424.18,111,4,0,none
2024-01-19,West,Action Formal Leather Shoes,Action,24,556.47,78,3,0,none
2024-01-20,North,Relaxo Hawai Slippers,Relaxo,101,91.77,272,2,0,none
2024-01-20,North,Sparx Running Shoes SM-450,Sparx,30,621.92,88,4,0,none
2024-01-20,North,Bata Comfit Sandals,Bata,38,314.32,123,2,0,none
2024-01-20,North,Liberty Force-10 School Shoes,Liberty,20,394.78,91,3,0,none
2024-01-20,North,Action Formal Leather Shoes,Action,16,,42,1,0,none
2024-01-20,South,Relaxo Hawai Slippers,Relaxo,79,86.4,244,4,0,none
2024-01-20,South,Sparx Running Shoes SM-450,Sparx,30,661.38,96,3,0,none
2024-01-20,South,Bata Comfit Sandals,Bata,39,302.17,120,3,0,none
2024-01-20,South,Liberty Force-10 School Shoes,Liberty,17,392.44,81,4,0,none
2024-01-20,South,Action Formal Leather Shoes,Action,17,598.95,75,1,0,none
2024-01-20,West,Relaxo Hawai Slippers,Relaxo,82,83.98,397,4,0,none
2024-01-20,West,Sparx Running Shoes SM-450,Sparx,32,,112,4,0,none
2024-01-20,West,Bata Comfit Sandals,Bata,38,324.73,168,4,0,none
2024-01-20,West,Liberty Force-10 School Shoes,Liberty,19,392.95,93,4,0,none
2024-01-20,West,Action Formal Leather Shoes,Action,18,583.33,74,3,0,none
2024-01-21,North,Relaxo Hawai Slippers,Relaxo,76,80.12,322,2,0,none
2024-01-21,North,Sparx Running Shoes SM-450,Sparx,30,636.6,91,2,0,none
2024-01-21,North,Bata Comfit Sandals,Bata,40,339.87,193,3,0,none
2024-01-21,North,Liberty Force-10 School Shoes,Liberty,24,409.71,70,3,0,none
2024-01-21,North,Action Formal Leather Shoes,Action,20,601.23,,2,0,none
2024-01-21,South,Relaxo Hawai Slippers,Relaxo,86,86.01,335,3,0,none
2024-01-21,South,Sparx Running Shoes SM-450,Sparx,28,670.7,131,3,0,none
2024-01-21,South,Bata Comfit Sandals,Bata,43,308.73,150,4,0,none
2024-01-21,South,Liberty Force-10 School Shoes,Liberty,22,390.91,84,3,1,none
2024-01-21,South,Action Formal Leather Shoes,Action,21,550.65,92,3,1,none
2024-01-21,West,Relaxo Hawai Slippers,Relaxo,85,86.66,250,2,0,none
2024-01-21,West,Sparx Running Shoes SM-450,Sparx,26,647.9,79,2,0,none
2024-01-21,West,Bata Comfit Sandals,Bata,39,302.94,184,4,0,none
2024-01-21,West,Liberty Force-10 School Shoes,Liberty,24,402.82,74,3,0,none
2024-01-21,West,Action Formal Leather Shoes,Action,17,565.47,61,3,0,none
2024-01-22,North,Relaxo Hawai Slippers,Relaxo,142,88.14,434,3,0,none
2024-01-22,North,Sparx Running Shoes SM-450,Sparx,,624.0,195,1,0,none
2024-01-22,North,Bata Comfit Sandals,Bata,,315.67,252,4,0,none
2024-01-22,North,Liberty Force-10 School Shoes,Liberty,29,392.44,111,3,0,none
2024-01-22,North,Action Formal Leather Shoes,Action,28,582.09,90,4,0,none
2024-01-22,South,Relaxo Hawai Slippers,Relaxo,99,83.66,359,2,1,none
2024-01-22,South,Sparx Running Shoes SM-450,Sparx,45,675.06,183,2,1,none
2024-01-22,South,Bata Comfit Sandals,Bata,58,338.72,218,1,0,none
2024-01-22,South,Liberty Force-10 School Shoes,Liberty,132,391.49,543,4,0,none
2024-01-22,South,Action Formal Leather Shoes,Action,25,565.01,122,2,0,none
2024-01-22,West,Relaxo Hawai Slippers,Relaxo,131,87.72,,3,0,none
2024-01-22,West,Sparx Running Shoes SM-450,Sparx,43,677.88,146,3,0,none
2024-01-22,West,Bata Comfit Sandals,Bata,58,303.85,276,3,0,none
2024-01-22,West,Liberty Force-10 School Shoes,Liberty,37,390.75,144,2,0,none
2024-01-22,West,Action Formal Leather Shoes,Action,26,556.34,99,3,0,none
2024-01-23,North,Relaxo Hawai Slippers,Relaxo,135,,480,3,0,none
2024-01-23,North,Sparx Running Shoes SM-450,Sparx,47,657.68,127,4,0,none
2024-01-23,North,Bata Comfit Sandals,Bata,,315.51,202,3,0,none
2024-01-23,North,Liberty Force-10 School Shoes,Liberty,35,419.73,154,1,0,none
2024-01-23,North,Action Formal Leather Shoes,Action,29,584.4,113,3,0,none
2024-01-23,South,Relaxo Hawai Slippers,Relaxo,130,88.41,524,1,0,none
