date,store_city,product_name,brand,units_sold,unit_price_inr,stock_on_hand,restock_lead_time_days,promotion_flag,sale_event
2024-01-03,Bangalore,Noise ColorFit Pulse 2,Noise,14,1567.33,66,5,0,none
2024-01-03,Bangalore,JBL Go 3,JBL,12,2155.66,56,6,1,none
2024-01-03,Delhi,boAt Airdopes 141,boAt,24,1342.81,118,5,1,none
2024-01-03,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,18,1478.0,68,4,0,none
2024-01-03,Delhi,Samsung Galaxy M14 5G,Samsung,10,14004.69,31,6,0,none
2024-01-03,Delhi,Noise ColorFit Pulse 2,Noise,14,1588.31,53,4,0,none
2024-01-03,Delhi,JBL Go 3,JBL,10,2154.44,28,3,0,none
2024-01-04,Mumbai,boAt Airdopes 141,boAt,23,1287.09,87,5,0,none
2024-01-04,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,18,1481.89,89,5,0,none
2024-01-04,Mumbai,Samsung Galaxy M14 5G,Samsung,45,13832.56,144,4,0,none
2024-01-04,Mumbai,Noise ColorFit Pulse 2,Noise,15,1578.96,61,3,0,none
2024-01-04,Mumbai,JBL Go 3,JBL,12,2236.91,42,5,0,none
2024-01-04,Bangalore,boAt Airdopes 141,boAt,28,1300.3,100,7,0,none
2024-01-04,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,,1531.64,83,4,0,none
2024-01-04,Bangalore,Samsung Galaxy M14 5G,Samsung,,13806.54,31,4,0,none
2024-01-04,Bangalore,Noise ColorFit Pulse 2,Noise,15,1602.52,62,3,0,none
2024-01-04,Bangalore,JBL Go 3,JBL,11,2213.99,40,6,1,none
2024-01-04,Delhi,boAt Airdopes 141,boAt,29,1268.83,116,5,0,none
2024-01-04,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,19,1516.2,80,6,0,none
2024-01-04,Delhi,Samsung Galaxy M14 5G,Samsung,,14156.47,27,3,0,none
2024-01-04,Delhi,Noise ColorFit Pulse 2,Noise,16,1569.98,78,4,1,none
2024-01-04,Delhi,JBL Go 3,JBL,11,2209.34,45,5,0,none
2024-01-05,Mumbai,boAt Airdopes 141,boAt,120,1317.16,422,4,0,none
2024-01-05,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,18,1482.83,63,4,0,none
2024-01-05,Mumbai,Samsung Galaxy M14 5G,Samsung,6,13943.28,21,5,0,none
2024-01-05,Mumbai,Noise ColorFit Pulse 2,Noise,17,1563.89,84,6,0,none
2024-01-05,Mumbai,JBL Go 3,JBL,13,2240.34,63,7,0,none
2024-01-05,Bangalore,boAt Airdopes 141,boAt,22,1262.86,103,6,1,none
2024-01-05,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,17,1546.63,54,4,0,none
2024-01-05,Bangalore,Samsung Galaxy M14 5G,Samsung,10,13882.15,48,6,0,none
2024-01-05,Bangalore,Noise ColorFit Pulse 2,Noise,13,1566.47,51,5,0,none
2024-01-05,Bangalore,JBL Go 3,JBL,12,2190.28,42,7,0,none
2024-01-05,Delhi,boAt Airdopes 141,boAt,23,1301.92,103,4,0,none
2024-01-05,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,17,1480.2,77,3,0,none
2024-01-05,Delhi,Samsung Galaxy M14 5G,Samsung,10,14171.1,48,7,0,none
2024-01-05,Delhi,Noise ColorFit Pulse 2,Noise,14,,59,6,0,none
2024-01-05,Delhi,JBL Go 3,JBL,11,2245.24,45,7,0,none
2024-01-06,Mumbai,boAt Airdopes 141,boAt,,1307.29,104,4,0,none
2024-01-06,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,21,1473.24,80,7,0,none
2024-01-06,Mumbai,Samsung Galaxy M14 5G,Samsung,60,14152.94,247,3,0,none
2024-01-06,Mumbai,Noise ColorFit Pulse 2,Noise,18,1617.26,54,5,0,none
2024-01-06,Mumbai,JBL Go 3,JBL,13,2231.0,40,4,0,none
2024-01-06,Bangalore,boAt Airdopes 141,boAt,25,1340.04,66,7,0,none
2024-01-06,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,19,1454.18,50,6,0,none
2024-01-06,Bangalore,Samsung Galaxy M14 5G,Samsung,12,14059.99,46,6,1,none
2024-01-06,Bangalore,Noise ColorFit Pulse 2,Noise,17,1565.93,43,5,0,none
2024-01-06,Bangalore,JBL Go 3,JBL,13,2179.87,59,3,1,none
2024-01-06,Delhi,boAt Airdopes 141,boAt,27,1285.42,128,3,0,none
2024-01-06,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,20,1455.2,60,3,0,none
2024-01-06,Delhi,Samsung Galaxy M14 5G,Samsung,12,13903.87,51,5,0,none
2024-01-06,Delhi,Noise ColorFit Pulse 2,Noise,18,1631.6,50,6,0,none
2024-01-06,Delhi,JBL Go 3,JBL,10,2241.81,30,5,0,none
2024-01-07,Mumbai,boAt Airdopes 141,boAt,29,1256.9,87,4,0,none
2024-01-07,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,23,1547.03,108,3,0,none
2024-01-07,Mumbai,Samsung Galaxy M14 5G,Samsung,11,13965.74,45,4,0,none
2024-01-07,Mumbai,Noise ColorFit Pulse 2,Noise,15,1578.38,59,5,0,none
2024-01-07,Mumbai,JBL Go 3,JBL,13,2167.83,35,5,0,none
2024-01-07,Bangalore,boAt Airdopes 141,boAt,32,1348.1,88,6,0,none
2024-01-07,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,22,1509.05,101,4,0,none
2024-01-07,Bangalore,Samsung Galaxy M14 5G,Samsung,10,14110.11,49,3,0,none
2024-01-07,Bangalore,Noise ColorFit Pulse 2,Noise,17,1552.82,74,4,0,none
2024-01-07,Bangalore,JBL Go 3,JBL,14,2156.79,36,6,0,none
2024-01-07,Delhi,boAt Airdopes 141,boAt,26,1265.37,110,6,0,none
2024-01-07,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,20,1537.37,71,3,0,none
2024-01-07,Delhi,Samsung Galaxy M14 5G,Samsung,44,13968.5,200,6,0,none
2024-01-07,Delhi,Noise ColorFit Pulse 2,Noise,16,1563.25,72,6,0,none
2024-01-07,Delhi,JBL Go 3,JBL,14,2241.55,39,6,0,none
2024-01-08,Mumbai,boAt Airdopes 141,boAt,27,1253.35,129,5,1,none
2024-01-08,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,15,1527.58,46,6,0,none
2024-01-08,Mumbai,Samsung Galaxy M14 5G,Samsung,8,14174.42,23,5,0,none
2024-01-08,Mumbai,Noise ColorFit Pulse 2,Noise,16,1552.81,74,3,0,none
2024-01-08,Mumbai,JBL Go 3,JBL,11,2179.82,,6,0,none
2024-01-08,Bangalore,boAt Airdopes 141,boAt,23,1325.36,102,6,0,none
2024-01-08,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,,1485.53,72,7,0,none
2024-01-08,Bangalore,Samsung Galaxy M14 5G,Samsung,9,,34,6,0,none
2024-01-08,Bangalore,Noise ColorFit Pulse 2,Noise,12,1618.25,33,4,0,none
2024-01-08,Bangalore,JBL Go 3,JBL,12,2155.55,41,5,0,none
2024-01-08,Delhi,boAt Airdopes 141,boAt,29,1299.22,139,4,0,none
2024-01-08,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,18,1476.82,60,6,0,none
2024-01-08,Delhi,Samsung Galaxy M14 5G,Samsung,10,13942.91,47,7,0,none
2024-01-08,Delhi,Noise ColorFit Pulse 2,Noise,11,1586.15,38,5,0,none
2024-01-08,Delhi,JBL Go 3,JBL,11,2223.36,29,7,0,none
2024-01-09,Mumbai,boAt Airdopes 141,boAt,96,1271.16,310,6,0,none
2024-01-09,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,16,1453.56,42,7,0,none
2024-01-09,Mumbai,Samsung Galaxy M14 5G,Samsung,8,14048.57,29,4,1,none
2024-01-09,Mumbai,Noise ColorFit Pulse 2,Noise,13,,54,5,0,none
2024-01-09,Mumbai,JBL Go 3,JBL,10,2193.38,48,6,0,none
2024-01-09,Bangalore,boAt Airdopes 141,boAt,24,1272.77,64,3,1,none
2024-01-09,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,19,1513.16,86,4,0,none
2024-01-09,Bangalore,Samsung Galaxy M14 5G,Samsung,10,13990.17,38,6,0,none
2024-01-09,Bangalore,Noise ColorFit Pulse 2,Noise,13,1572.23,34,5,0,none
2024-01-09,Bangalore,JBL Go 3,JBL,11,2212.59,46,7,0,none
2024-01-09,Delhi,boAt Airdopes 141,boAt,28,1339.47,129,4,0,none
2024-01-09,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,19,1472.92,91,7,0,none
2024-01-09,Delhi,Samsung Galaxy M14 5G,Samsung,8,13922.1,24,7,0,none
2024-01-09,Delhi,Noise ColorFit Pulse 2,Noise,,1611.2,44,4,0,none
2024-01-09,Delhi,JBL Go 3,JBL,11,2234.65,48,4,0,none
2024-01-10,Mumbai,boAt Airdopes 141,boAt,25,1340.44,122,3,0,none
2024-01-10,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,20,1524.14,82,6,0,none
2024-01-10,Mumbai,Samsung Galaxy M14 5G,Samsung,,13968.51,20,5,0,none
2024-01-10,Mumbai,Noise ColorFit Pulse 2,Noise,14,1577.76,61,6,1,none
2024-01-10,Mumbai,JBL Go 3,JBL,10,2205.61,43,3,0,none
2024-01-10,Bangalore,boAt Airdopes 141,boAt,24,1283.78,66,4,0,none
2024-01-10,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,21,1464.89,95,4,0,none
2024-01-10,Bangalore,Samsung Galaxy M14 5G,Samsung,10,14050.17,34,6,0,none
2024-01-10,Bangalore,Noise ColorFit Pulse 2,Noise,12,1586.19,39,6,0,none
2024-01-10,Bangalore,JBL Go 3,JBL,11,2224.45,48,3,0,none
2024-01-10,Delhi,boAt Airdopes 141,boAt,28,1323.2,82,6,0,none
2024-01-10,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,16,1475.75,70,7,0,none
2024-01-10,Delhi,Samsung Galaxy M14 5G,Samsung,8,13863.37,27,4,0,none
2024-01-10,Delhi,Noise ColorFit Pulse 2,Noise,14,1563.83,46,5,0,none
2024-01-10,Delhi,JBL Go 3,JBL,10,2187.83,26,6,0,none
2024-01-11,Mumbai,boAt Airdopes 141,boAt,25,1322.82,63,4,0,none
2024-01-11,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,18,1471.86,77,7,0,none
2024-01-11,Mumbai,Samsung Galaxy M14 5G,Samsung,9,13966.83,40,4,0,none
2024-01-11,Mumbai,Noise ColorFit Pulse 2,Noise,16,,77,4,0,none
2024-01-11,Mumbai,JBL Go 3,JBL,11,2170.79,47,4,0,none
2024-01-11,Bangalore,boAt Airdopes 141,boAt,24,1300.22,98,5,0,none
2024-01-11,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,17,1461.24,84,5,0,none
2024-01-11,Bangalore,Samsung Galaxy M14 5G,Samsung,8,14165.17,33,5,0,none
2024-01-11,Bangalore,Noise ColorFit Pulse 2,Noise,18,1645.09,66,4,0,none
2024-01-11,Bangalore,JBL Go 3,JBL,10,2205.21,31,4,0,none
2024-01-11,Delhi,boAt Airdopes 141,boAt,23,1261.52,105,5,0,none
2024-01-11,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,18,1516.88,67,5,0,none
2024-01-11,Delhi,Samsung Galaxy M14 5G,Samsung,9,13860.1,29,6,1,none
2024-01-11,Delhi,Noise ColorFit Pulse 2,Noise,14,1632.13,57,3,0,none
2024-01-11,Delhi,JBL Go 3,JBL,10,2167.57,36,4,0,none
2024-01-12,Mumbai,boAt Airdopes 141,boAt,23,1346.72,63,7,0,none
2024-01-12,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,15,1537.27,58,5,0,none
2024-01-12,Mumbai,Samsung Galaxy M14 5G,Samsung,9,14161.19,,4,0,none
2024-01-12,Mumbai,Noise ColorFit Pulse 2,Noise,15,1615.53,69,5,0,none
2024-01-12,Mumbai,JBL Go 3,JBL,10,2213.65,26,3,0,none
2024-01-12,Bangalore,boAt Airdopes 141,boAt,22,1252.39,95,4,0,none
2024-01-12,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,18,1526.06,54,6,0,none
2024-01-12,Bangalore,Samsung Galaxy M14 5G,Samsung,9,14192.71,42,5,0,none
2024-01-12,Bangalore,Noise ColorFit Pulse 2,Noise,,1578.92,63,3,0,none
2024-01-12,Bangalore,JBL Go 3,JBL,11,2149.62,33,6,0,none
2024-01-12,Delhi,boAt Airdopes 141,boAt,25,1310.67,102,7,0,none
2024-01-12,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,17,1535.92,60,3,0,none
2024-01-12,Delhi,Samsung Galaxy M14 5G,Samsung,,,28,5,0,none
2024-01-12,Delhi,Noise ColorFit Pulse 2,Noise,12,1601.22,,6,0,none
2024-01-12,Delhi,JBL Go 3,JBL,10,2208.2,48,4,0,none
2024-01-13,Mumbai,boAt Airdopes 141,boAt,120,1249.93,501,3,0,none
2024-01-13,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,22,1494.08,96,3,0,none
2024-01-13,Mumbai,Samsung Galaxy M14 5G,Samsung,11,13998.24,46,5,0,none
2024-01-13,Mumbai,Noise ColorFit Pulse 2,Noise,16,1617.66,65,6,0,none
2024-01-13,Mumbai,JBL Go 3,JBL,13,2206.5,47,4,0,none
2024-01-13,Bangalore,boAt Airdopes 141,boAt,30,1290.8,104,6,0,none
2024-01-13,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,,1531.74,87,7,0,none
2024-01-13,Bangalore,Samsung Galaxy M14 5G,Samsung,12,14189.56,37,6,0,none
2024-01-13,Bangalore,Noise ColorFit Pulse 2,Noise,17,1591.25,67,3,0,none
2024-01-13,Bangalore,JBL Go 3,JBL,13,2246.54,58,7,0,none
2024-01-13,Delhi,boAt Airdopes 141,boAt,25,1324.02,121,4,0,none
2024-01-13,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,20,1507.64,50,6,0,none
2024-01-13,Delhi,Samsung Galaxy M14 5G,Samsung,11,14153.04,42,6,0,none
2024-01-13,Delhi,Noise ColorFit Pulse 2,Noise,19,1577.98,75,5,0,none
2024-01-13,Delhi,JBL Go 3,JBL,,2212.27,67,4,0,none
2024-01-14,Mumbai,boAt Airdopes 141,boAt,30,1269.46,140,7,0,none
2024-01-14,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,17,1530.88,83,5,0,none
2024-01-14,Mumbai,Samsung Galaxy M14 5G,Samsung,48,14021.95,224,6,0,none
2024-01-14,Mumbai,Noise ColorFit Pulse 2,Noise,15,1558.0,49,4,0,none
2024-01-14,Mumbai,JBL Go 3,JBL,11,2164.97,54,4,0,none
2024-01-14,Bangalore,boAt Airdopes 141,boAt,29,1274.79,110,6,1,none
2024-01-14,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,21,1478.88,84,3,0,none
2024-01-14,Bangalore,Samsung Galaxy M14 5G,Samsung,10,14164.72,47,6,0,none
2024-01-14,Bangalore,Noise ColorFit Pulse 2,Noise,19,1642.4,89,4,0,none
2024-01-14,Bangalore,JBL Go 3,JBL,14,2181.26,43,3,0,none
2024-01-14,Delhi,boAt Airdopes 141,boAt,30,1304.34,86,4,0,none
2024-01-14,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,22,1498.1,72,6,0,none
2024-01-14,Delhi,Samsung Galaxy M14 5G,Samsung,10,13883.46,37,5,0,none
2024-01-14,Delhi,Noise ColorFit Pulse 2,Noise,17,1588.01,60,4,1,none
2024-01-14,Delhi,JBL Go 3,JBL,84,2183.09,239,3,0,none
2024-01-15,Mumbai,boAt Airdopes 141,boAt,27,1267.07,124,7,0,none
2024-01-15,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,18,1509.86,67,5,0,none
2024-01-15,Mumbai,Samsung Galaxy M14 5G,Samsung,60,14092.09,211,3,0,none
2024-01-15,Mumbai,Noise ColorFit Pulse 2,Noise,16,1558.03,56,6,0,none
2024-01-15,Mumbai,JBL Go 3,JBL,11,2206.49,51,5,0,none
2024-01-15,Bangalore,boAt Airdopes 141,boAt,25,1330.65,117,5,0,none
2024-01-15,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,17,1493.64,44,7,0,none
2024-01-15,Bangalore,Samsung Galaxy M14 5G,Samsung,10,13923.77,39,3,1,none
2024-01-15,Bangalore,Noise ColorFit Pulse 2,Noise,15,1572.84,54,5,0,none
2024-01-15,Bangalore,JBL Go 3,JBL,10,2199.08,32,3,0,none
2024-01-15,Delhi,boAt Airdopes 141,boAt,26,1288.66,127,3,0,none
2024-01-15,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,20,1488.56,97,5,0,none
2024-01-15,Delhi,Samsung Galaxy M14 5G,Samsung,11,14125.02,51,3,0,none
2024-01-15,Delhi,Noise ColorFit Pulse 2,Noise,14,1615.31,35,3,0,none
2024-01-15,Delhi,JBL Go 3,JBL,12,2226.66,58,3,0,none
2024-01-16,Mumbai,boAt Airdopes 141,boAt,25,1275.58,105,5,0,none
2024-01-16,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,18,1452.94,50,5,0,none
2024-01-16,Mumbai,Samsung Galaxy M14 5G,Samsung,10,13906.36,37,7,0,none
2024-01-16,Mumbai,Noise ColorFit Pulse 2,Noise,16,1622.59,70,5,0,none
2024-01-16,Mumbai,JBL Go 3,JBL,10,2220.04,37,7,0,none
2024-01-16,Bangalore,boAt Airdopes 141,boAt,24,1345.96,84,5,0,none
2024-01-16,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,19,1536.84,58,3,0,none
2024-01-16,Bangalore,Samsung Galaxy M14 5G,Samsung,9,13974.96,39,3,0,none
2024-01-16,Bangalore,Noise ColorFit Pulse 2,Noise,15,1615.82,43,4,0,none
2024-01-16,Bangalore,JBL Go 3,JBL,11,2196.52,49,4,0,none
2024-01-16,Delhi,boAt Airdopes 141,boAt,21,1288.75,105,4,0,none
2024-01-16,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,16,1521.31,,6,0,none
2024-01-16,Delhi,Samsung Galaxy M14 5G,Samsung,10,14194.89,35,5,0,none
2024-01-16,Delhi,Noise ColorFit Pulse 2,Noise,14,1581.39,65,4,0,none
2024-01-16,Delhi,JBL Go 3,JBL,44,2174.65,209,5,0,none
2024-01-17,Mumbai,boAt Airdopes 141,boAt,22,,75,7,0,none
2024-01-17,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,17,1489.95,64,7,0,none
2024-01-17,Mumbai,Samsung Galaxy M14 5G,Samsung,8,14033.96,34,3,0,none
2024-01-17,Mumbai,Noise ColorFit Pulse 2,Noise,16,1560.05,76,5,0,none
2024-01-17,Mumbai,JBL Go 3,JBL,12,2199.49,36,4,1,none
2024-01-17,Bangalore,boAt Airdopes 141,boAt,27,1321.29,,3,0,none
2024-01-17,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,16,1515.81,48,6,0,none
2024-01-17,Bangalore,Samsung Galaxy M14 5G,Samsung,11,13856.49,33,7,0,none
2024-01-17,Bangalore,Noise ColorFit Pulse 2,Noise,15,1631.31,60,3,0,none
2024-01-17,Bangalore,JBL Go 3,JBL,11,2176.54,28,3,0,none
2024-01-17,Delhi,boAt Airdopes 141,boAt,25,1288.6,110,3,0,none
2024-01-17,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,17,1534.47,56,6,0,none
2024-01-17,Delhi,Samsung Galaxy M14 5G,Samsung,10,,31,5,0,none
2024-01-17,Delhi,Noise ColorFit Pulse 2,Noise,14,1565.99,48,3,0,none
2024-01-17,Delhi,JBL Go 3,JBL,10,2155.54,28,5,0,none
2024-01-18,Mumbai,boAt Airdopes 141,boAt,24,1276.91,62,4,0,none
2024-01-18,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,18,1528.49,56,5,0,none
2024-01-18,Mumbai,Samsung Galaxy M14 5G,Samsung,8,14179.38,30,4,0,none
2024-01-18,Mumbai,Noise ColorFit Pulse 2,Noise,13,1602.47,46,7,0,none
2024-01-18,Mumbai,JBL Go 3,JBL,10,2176.04,,6,1,none
2024-01-18,Bangalore,boAt Airdopes 141,boAt,24,1272.16,71,3,1,none
2024-01-18,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,15,1520.87,41,5,0,none
2024-01-18,Bangalore,Samsung Galaxy M14 5G,Samsung,11,14143.51,31,5,0,none
2024-01-18,Bangalore,Noise ColorFit Pulse 2,Noise,13,1551.53,55,6,0,none
2024-01-18,Bangalore,JBL Go 3,JBL,11,2222.41,47,3,0,none
2024-01-18,Delhi,boAt Airdopes 141,boAt,26,1322.83,101,4,0,none
2024-01-18,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,20,1542.57,56,5,0,none
2024-01-18,Delhi,Samsung Galaxy M14 5G,Samsung,9,14071.43,23,5,0,none
2024-01-18,Delhi,Noise ColorFit Pulse 2,Noise,14,1631.87,45,3,0,none
2024-01-18,Delhi,JBL Go 3,JBL,10,2217.84,46,6,0,none
2024-01-19,Mumbai,boAt Airdopes 141,boAt,27,1267.93,132,7,0,none
2024-01-19,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,15,1473.97,40,5,0,none
2024-01-19,Mumbai,Samsung Galaxy M14 5G,Samsung,9,14081.25,23,6,0,none
2024-01-19,Mumbai,Noise ColorFit Pulse 2,Noise,13,1607.76,40,3,0,none
2024-01-19,Mumbai,JBL Go 3,JBL,10,2232.12,28,5,1,none
2024-01-19,Bangalore,boAt Airdopes 141,boAt,23,1260.06,75,3,0,none
2024-01-19,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,17,1546.98,63,5,0,none
2024-01-19,Bangalore,Samsung Galaxy M14 5G,Samsung,9,13874.92,35,3,0,none
2024-01-19,Bangalore,Noise ColorFit Pulse 2,Noise,14,1556.81,61,3,0,none
2024-01-19,Bangalore,JBL Go 3,JBL,9,2233.57,43,4,0,none
2024-01-19,Delhi,boAt Airdopes 141,boAt,22,1272.02,62,5,0,none
2024-01-19,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,19,1541.11,95,6,0,none
2024-01-19,Delhi,Samsung Galaxy M14 5G,Samsung,10,13831.09,42,4,0,none
2024-01-19,Delhi,Noise ColorFit Pulse 2,Noise,16,1596.94,49,5,1,none
2024-01-19,Delhi,JBL Go 3,JBL,,2200.46,36,5,1,none
2024-01-20,Mumbai,boAt Airdopes 141,boAt,31,1286.88,78,7,0,none
2024-01-20,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,19,1511.57,55,6,0,none
2024-01-20,Mumbai,Samsung Galaxy M14 5G,Samsung,11,14042.66,36,7,0,none
2024-01-20,Mumbai,Noise ColorFit Pulse 2,Noise,19,1633.81,58,6,0,none
2024-01-20,Mumbai,JBL Go 3,JBL,12,2185.0,37,6,0,none
2024-01-20,Bangalore,boAt Airdopes 141,boAt,29,1274.35,79,7,0,none
2024-01-20,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,21,1518.67,91,7,0,none
2024-01-20,Bangalore,Samsung Galaxy M14 5G,Samsung,12,14134.42,58,7,0,none
2024-01-20,Bangalore,Noise ColorFit Pulse 2,Noise,19,1605.3,84,4,0,none
2024-01-20,Bangalore,JBL Go 3,JBL,15,2194.97,42,4,0,none
2024-01-20,Delhi,boAt Airdopes 141,boAt,31,1340.75,145,4,0,none
2024-01-20,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,,1500.32,88,5,0,none
2024-01-20,Delhi,Samsung Galaxy M14 5G,Samsung,11,14120.21,31,4,0,none
2024-01-20,Delhi,Noise ColorFit Pulse 2,Noise,68,1556.38,214,4,0,none
2024-01-20,Delhi,JBL Go 3,JBL,,2236.54,50,5,0,none
2024-01-21,Mumbai,boAt Airdopes 141,boAt,24,1252.55,71,7,0,none
2024-01-21,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,21,1536.3,85,3,0,none
2024-01-21,Mumbai,Samsung Galaxy M14 5G,Samsung,11,,37,6,0,none
