date,production_unit,product_name,fabric_type,production_quantity,raw_material_cost_per_unit,finished_goods_stock,production_lead_time_days,export_order_flag,season_event
2024-01-11,Unit-Ludhiana,Kids Denim Jeans,Denim,49,296.58,157,7,0,none
2024-01-11,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,43,443.66,147,7,0,none
2024-01-11,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,206,138.66,612,7,0,none
2024-01-11,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,485,233.18,1046,14,0,none
2024-01-11,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,62,290.5,136,7,0,none
2024-01-11,Unit-Jaipur,Kids Denim Jeans,Denim,50,324.97,130,7,0,none
2024-01-11,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,45,431.51,147,10,1,none
2024-01-12,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,,133.15,867,5,0,none
2024-01-12,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,84,219.63,181,7,0,none
2024-01-12,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,81,284.61,299,14,0,none
2024-01-12,Unit-Tirupur,Kids Denim Jeans,Denim,46,319.15,132,7,0,none
2024-01-12,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,33,463.4,91,7,0,none
2024-01-12,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,205,132.55,694,10,0,none
2024-01-12,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,97,206.49,281,14,1,none
2024-01-12,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,71,274.43,251,10,0,none
2024-01-12,Unit-Ludhiana,Kids Denim Jeans,Denim,49,313.3,120,14,0,none
2024-01-12,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,38,447.35,113,14,0,none
2024-01-12,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,227,145.53,616,10,1,none
2024-01-12,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,,215.23,244,5,0,none
2024-01-12,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,59,270.36,188,7,0,none
2024-01-12,Unit-Jaipur,Kids Denim Jeans,Denim,56,296.27,151,14,0,none
2024-01-12,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,40,,91,10,0,none
2024-01-13,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,182,132.66,499,14,1,none
2024-01-13,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,72,205.21,154,7,1,none
2024-01-13,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,53,283.71,194,14,0,none
2024-01-13,Unit-Tirupur,Kids Denim Jeans,Denim,35,322.48,110,5,1,none
2024-01-13,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,28,447.84,68,14,0,none
2024-01-13,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,159,130.29,406,5,0,none
2024-01-13,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,63,218.62,136,14,0,none
2024-01-13,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,48,274.2,122,5,0,none
2024-01-13,Unit-Ludhiana,Kids Denim Jeans,Denim,43,310.79,151,10,0,none
2024-01-13,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,28,441.63,82,5,0,none
2024-01-13,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,141,132.31,448,14,1,none
2024-01-13,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,65,209.81,227,10,0,none
2024-01-13,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,48,266.02,130,10,1,none
2024-01-13,Unit-Jaipur,Kids Denim Jeans,Denim,46,319.6,101,10,1,none
2024-01-13,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,29,433.26,83,7,1,none
2024-01-14,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,86,131.85,250,7,1,none
2024-01-14,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,37,220.53,112,5,0,none
2024-01-14,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,25,278.37,97,7,0,none
2024-01-14,Unit-Tirupur,Kids Denim Jeans,Denim,20,,,10,0,none
2024-01-14,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,16,435.47,42,10,0,none
2024-01-14,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,93,138.34,276,14,1,none
2024-01-14,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,45,212.7,140,5,0,none
2024-01-14,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,30,287.87,118,7,0,none
2024-01-14,Unit-Ludhiana,Kids Denim Jeans,Denim,23,312.49,60,7,0,none
2024-01-14,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,19,464.57,39,7,0,none
2024-01-14,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,85,133.95,170,14,0,none
2024-01-14,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,132,218.14,523,7,0,none
2024-01-14,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,30,274.65,95,14,0,none
2024-01-14,Unit-Jaipur,Kids Denim Jeans,Denim,22,306.27,87,7,0,none
2024-01-14,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,14,456.84,34,7,0,none
2024-01-15,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,221,141.68,710,10,0,none
2024-01-15,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,105,,379,5,0,none
2024-01-15,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,71,283.54,185,5,1,none
2024-01-15,Unit-Tirupur,Kids Denim Jeans,Denim,53,314.61,116,5,0,none
2024-01-15,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,44,438.89,143,7,0,none
2024-01-15,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,213,141.78,480,5,0,none
2024-01-15,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,78,210.07,292,7,0,none
2024-01-15,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,73,280.83,253,7,0,none
2024-01-15,Unit-Ludhiana,Kids Denim Jeans,Denim,57,312.65,159,10,0,none
2024-01-15,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,36,433.92,120,7,0,none
2024-01-15,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,206,132.11,781,10,0,none
2024-01-15,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,81,232.54,207,5,0,none
2024-01-15,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,58,290.55,155,5,0,none
2024-01-15,Unit-Jaipur,Kids Denim Jeans,Denim,61,296.37,230,5,1,none
2024-01-15,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,41,,130,10,0,none
2024-01-16,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,194,145.08,480,10,0,none
2024-01-16,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,102,222.75,223,10,0,none
2024-01-16,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,45,278.9,108,7,0,none
2024-01-16,Unit-Tirupur,Kids Denim Jeans,Denim,51,320.14,190,10,1,none
2024-01-16,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,32,442.93,81,14,0,none
2024-01-16,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,189,143.09,419,10,1,none
2024-01-16,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,84,213.6,178,14,0,none
2024-01-16,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,81,294.21,164,10,0,none
2024-01-16,Unit-Ludhiana,Kids Denim Jeans,Denim,51,322.95,154,14,0,none
2024-01-16,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,43,444.14,109,10,0,none
2024-01-16,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,,133.39,663,5,0,none
2024-01-16,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,92,212.69,274,10,0,none
2024-01-16,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,43,268.02,125,14,1,none
2024-01-16,Unit-Jaipur,Kids Denim Jeans,Denim,59,324.92,,14,0,none
2024-01-16,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,34,462.93,129,7,0,none
2024-01-17,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,183,146.55,635,5,0,none
2024-01-17,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,94,215.58,287,14,0,none
2024-01-17,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,256,267.08,953,14,0,none
2024-01-17,Unit-Tirupur,Kids Denim Jeans,Denim,57,296.2,149,10,0,none
2024-01-17,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,46,465.84,123,14,0,none
2024-01-17,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,200,137.34,,10,0,none
2024-01-17,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,80,208.73,251,7,1,none
2024-01-17,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,64,276.16,161,14,0,none
2024-01-17,Unit-Ludhiana,Kids Denim Jeans,Denim,48,322.29,178,5,0,none
2024-01-17,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,36,462.47,106,5,0,none
2024-01-17,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,,135.57,626,5,0,none
2024-01-17,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,97,233.09,247,10,0,none
2024-01-17,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,66,268.06,238,10,1,none
2024-01-17,Unit-Jaipur,Kids Denim Jeans,Denim,49,323.48,195,10,0,none
2024-01-17,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,33,437.26,129,5,0,none
2024-01-18,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,1185,149.08,3871,5,0,none
2024-01-18,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,98,234.8,,5,0,none
2024-01-18,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,61,281.9,123,14,0,none
2024-01-18,Unit-Tirupur,Kids Denim Jeans,Denim,48,322.83,101,7,0,none
2024-01-18,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,37,469.44,74,5,0,none
2024-01-18,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,201,146.49,560,5,0,none
2024-01-18,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,93,208.83,211,7,0,none
2024-01-18,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,,278.75,133,10,1,none
2024-01-18,Unit-Ludhiana,Kids Denim Jeans,Denim,56,303.35,124,5,0,none
2024-01-18,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,35,467.61,126,5,0,none
2024-01-18,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,202,,425,7,1,none
2024-01-18,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,86,207.12,196,14,0,none
